wavelength,intensity
4618.25,33221.73
4620.5,32747.95
4622.75,32424.23
4625,32190.19
4627.25,31962.48
4629.5,31851.88
4631.75,31499.44
4634,31287.78
4636.26,31248.16
4638.51,31025.04
4640.76,31114.8
4643.01,31002.86
4645.26,30797.35
4647.51,30907.6
4649.76,30799.95
4652.01,30509.29
4654.26,30388.26
4656.51,30435.83
4658.76,30371.81
4661.01,30396.8
4663.26,30359.67
4665.51,30128.02
4667.76,29817.18
4670.01,29624.51
4672.26,29561.21
4674.52,29551.02
4676.77,29559.64
4679.02,29553.19
4681.27,29478.91
4683.52,29344.76
4685.77,29210.55
4688.02,29171.81
4690.27,29330.79
4692.52,29317.51
4694.77,29203.28
4697.02,29350
4699.27,29375.67
4701.52,29291.97
4703.77,29294.24
4706.02,29461.18
4708.27,29668.18
4710.53,29682.29
4712.78,29656.49
4715.03,29757.3
4717.28,29833.42
4719.53,29956.6
4721.78,30168.58
4724.03,30356.17
4726.28,30435.91
4728.53,30480.46
4730.78,30614.37
4733.03,30826.84
4735.28,31076.56
4737.53,31422.98
4739.78,31553.38
4742.03,31584.61
4744.28,31672.28
4746.54,31718.92
4748.79,31863.48
4751.04,31788.29
4753.29,31673.05
4755.54,31843.92
4757.79,31676.31
4760.04,31647.79
4762.29,31544.16
4764.54,31026.41
4766.79,30787.76
4769.04,30544.62
4771.29,30387.57
4773.54,30341.5
4775.79,30041.43
4778.04,29784.56
4780.29,29578.25
4782.55,29285.87
4784.8,28977.96
4787.05,28999.45
4789.3,28889.32
4791.55,28591.72
4793.8,28367.66
4796.05,28145.91
4798.3,28035.62
4800.55,27963.75
4802.8,27824.26
4805.05,27645.41
4807.3,27411.66
4809.55,27343.64
4811.8,27378.3
4814.05,27243.97
4816.3,27339.04
4818.56,27352.65
4820.81,27218.93
4823.06,27240.15
4825.31,27371.63
4827.56,27381.79
4829.81,27325.17
4832.06,27350.51
4834.31,27404.14
4836.56,27421.02
4838.81,27327.39
4841.06,27152.67
4843.31,26988.88
4845.56,26601.01
4847.81,26429.76
4850.06,26487.22
4852.31,26335.36
4854.57,26328.56
4856.82,26217.55
4859.07,25961.79
4861.32,25807.4
4863.57,25780.38
4865.82,25544.58
4868.07,25376.46
4870.32,25445.54
4872.57,25260.17
4874.82,25195.04
4877.07,25218.96
4879.32,25263.16
4881.57,25478.75
4883.82,25668.41
4886.07,25752.4
4888.32,25833.46
4890.57,25968.89
4892.83,25943.56
4895.08,25977.58
4897.33,26093.94
4899.58,26136.77
4901.83,26201.22
4904.08,26254.67
4906.33,26314.03
4908.58,26385.42
4910.83,26356.43
4913.08,26350.61
4915.33,26289.84
4917.58,26190.24
4919.83,26200.79
4922.08,26031.32
4924.33,25831.62
4926.58,25807.03
4928.84,25852.62
4931.09,25709.51
4933.34,25828.62
4935.59,25919.99
4937.84,25595.81
4940.09,25619.29
4942.34,25713.29
4944.59,25703.01
4946.84,25691.77
4949.09,25773.94
4951.34,25945.72
4953.59,25914.7
4955.84,25783.01
4958.09,25995.45
4960.34,26063.47
4962.59,26251.68
4964.85,26507.98
4967.1,26400.49
4969.35,26548.47
4971.6,26725.64
4973.85,26857.96
4976.1,27096.82
4978.35,27110.48
4980.6,27314.77
4982.85,27588.45
4985.1,27599.74
