wavelength,intensity
6190.89,2.39E-15
6191.89,2.38E-15
6192.88,2.40E-15
6193.88,2.41E-15
6194.88,2.35E-15
6195.87,2.37E-15
6196.87,2.43E-15
6197.87,2.47E-15
6198.86,2.54E-15
6199.86,2.56E-15
6200.86,2.55E-15
6201.86,2.50E-15
6202.85,2.44E-15
6203.85,2.50E-15
6204.85,2.53E-15
6205.84,2.53E-15
6206.84,2.51E-15
6207.84,2.55E-15
6208.83,2.54E-15
6209.83,2.54E-15
6210.83,2.55E-15
6211.82,2.59E-15
6212.82,2.58E-15
6213.82,2.59E-15
6214.82,2.51E-15
6215.81,2.50E-15
6216.81,2.43E-15
6217.81,2.36E-15
6218.8,2.39E-15
6219.8,2.42E-15
6220.8,2.41E-15
6221.79,2.44E-15
6222.79,2.42E-15
6223.79,2.43E-15
6224.78,2.43E-15
6225.78,2.41E-15
6226.78,2.45E-15
6227.78,2.49E-15
6228.77,2.55E-15
6229.77,2.50E-15
6230.77,2.47E-15
6231.76,2.48E-15
6232.76,2.45E-15
6233.76,2.39E-15
6234.75,2.38E-15
6235.75,2.44E-15
6236.75,2.46E-15
6237.74,2.48E-15
6238.74,2.50E-15
6239.74,2.52E-15
6240.74,2.51E-15
6241.73,2.48E-15
6242.73,2.47E-15
6243.73,2.42E-15
6244.72,2.45E-15
6245.72,2.39E-15
6246.72,2.39E-15
6247.71,2.38E-15
6248.71,2.40E-15
6249.71,2.43E-15
6250.7,2.41E-15
6251.7,2.50E-15
6252.7,2.54E-15
6253.7,2.53E-15
6254.69,2.49E-15
6255.69,2.42E-15
6256.69,2.41E-15
6257.68,2.37E-15
6258.68,2.34E-15
6259.68,2.31E-15
6260.67,2.34E-15
6261.67,2.33E-15
6262.67,2.36E-15
6263.66,2.42E-15
6264.66,2.47E-15
6265.66,2.48E-15
6266.66,2.45E-15
6267.65,2.49E-15
6268.65,2.49E-15
6269.65,2.47E-15
6270.64,2.48E-15
6271.64,2.52E-15
6272.64,2.53E-15
6273.63,2.46E-15
6274.63,2.50E-15
6275.63,2.53E-15
6276.62,2.51E-15
6277.62,2.52E-15
6278.62,2.58E-15
6279.62,2.59E-15
6280.61,2.43E-15
6281.61,2.42E-15
6282.61,2.51E-15
6283.6,2.50E-15
6284.6,2.43E-15
6285.6,2.53E-15
6286.59,2.53E-15
6287.59,2.46E-15
6288.59,2.46E-15
6289.58,2.56E-15
6290.58,2.58E-15
6291.58,2.62E-15
6292.58,2.64E-15
6293.57,2.58E-15
6294.57,2.59E-15
6295.57,2.63E-15
6296.56,2.68E-15
6297.56,2.73E-15
6298.56,2.79E-15
6299.55,2.91E-15
6300.55,3.03E-15
6301.55,3.43E-15
6302.54,3.82E-15
6303.54,4.34E-15
6304.54,4.91E-15
6305.54,4.96E-15
6306.53,4.25E-15
6307.53,3.37E-15
6308.53,2.97E-15
6309.52,2.77E-15
6310.52,2.69E-15
6311.52,2.67E-15
6312.51,2.68E-15
6313.51,2.67E-15
6314.51,2.62E-15
6315.5,2.69E-15
6316.5,2.75E-15
6317.5,2.72E-15
6318.5,2.63E-15
6319.49,2.55E-15
6320.49,2.43E-15
6321.49,2.42E-15
6322.48,2.44E-15
6323.48,2.47E-15
6324.48,2.51E-15
6325.47,2.51E-15
6326.47,2.48E-15
6327.47,2.53E-15
6328.46,2.58E-15
6329.46,2.57E-15
6330.46,2.53E-15
6331.46,2.55E-15
6332.45,2.54E-15
6333.45,2.53E-15
6334.45,2.57E-15
6335.44,2.57E-15
6336.44,2.57E-15
6337.44,2.53E-15
6338.43,2.51E-15
6339.43,2.46E-15
6340.43,2.45E-15
6341.42,2.42E-15
6342.42,2.47E-15
6343.42,2.56E-15
6344.42,2.57E-15
6345.41,2.53E-15
6346.41,2.49E-15
6347.41,2.46E-15
6348.4,2.45E-15
6349.4,2.48E-15
6350.4,2.55E-15
6351.39,2.56E-15
6352.39,2.54E-15
6353.39,2.61E-15
6354.38,2.56E-15
6355.38,2.57E-15
6356.38,2.58E-15
6357.38,2.51E-15
6358.37,2.52E-15
6359.37,2.57E-15
6360.37,2.54E-15
6361.36,2.55E-15
6362.36,2.53E-15
6363.36,2.58E-15
6364.35,2.64E-15
6365.35,2.75E-15
6366.35,2.89E-15
6367.34,3.10E-15
6368.34,3.33E-15
6369.34,3.27E-15
6370.34,2.97E-15
6371.33,2.80E-15
6372.33,2.67E-15
6373.33,2.63E-15
6374.32,2.60E-15
6375.32,2.65E-15
6376.32,2.63E-15
6377.31,2.61E-15
6378.31,2.66E-15
6379.31,2.61E-15
6380.3,2.64E-15
6381.3,2.60E-15
6382.3,2.59E-15
6383.3,2.58E-15
6384.29,2.61E-15
6385.29,2.56E-15
6386.29,2.59E-15
6387.28,2.54E-15
6388.28,2.59E-15
6389.28,2.61E-15
6390.27,2.56E-15
6391.27,2.61E-15
6392.27,2.63E-15
6393.26,2.58E-15
6394.26,2.61E-15
6395.26,2.56E-15
6396.26,2.54E-15
6397.25,2.46E-15
6398.25,2.44E-15
6399.25,2.53E-15
6400.24,2.57E-15
6401.24,2.56E-15
6402.24,2.54E-15
6403.23,2.52E-15
6404.23,2.50E-15
6405.23,2.50E-15
6406.22,2.56E-15
6407.22,2.62E-15
6408.22,2.58E-15
6409.22,2.60E-15
6410.21,2.52E-15
6411.21,2.54E-15
6412.21,2.55E-15
6413.2,2.53E-15
6414.2,2.56E-15
6415.2,2.58E-15
6416.19,2.53E-15
6417.19,2.54E-15
6418.19,2.53E-15
6419.18,2.56E-15
6420.18,2.56E-15
6421.18,2.58E-15
6422.18,2.51E-15
6423.17,2.52E-15
6424.17,2.47E-15
6425.17,2.54E-15
6426.16,2.53E-15
6427.16,2.55E-15
6428.16,2.58E-15
6429.15,2.59E-15
6430.15,2.65E-15
6431.15,2.67E-15
6432.14,2.63E-15
6433.14,2.55E-15
6434.14,2.53E-15
6435.14,2.48E-15
6436.13,2.51E-15
6437.13,2.60E-15
6438.13,2.61E-15
6439.12,2.59E-15
6440.12,2.61E-15
6441.12,2.60E-15
6442.11,2.51E-15
6443.11,2.53E-15
6444.11,2.58E-15
6445.1,2.60E-15
6446.1,2.56E-15
6447.1,2.56E-15
6448.1,2.64E-15
6449.09,2.63E-15
6450.09,2.63E-15
6451.09,2.56E-15
6452.08,2.48E-15
6453.08,2.45E-15
6454.08,2.38E-15
6455.07,2.41E-15
6456.07,2.46E-15
6457.07,2.54E-15
6458.06,2.55E-15
6459.06,2.49E-15
6460.06,2.52E-15
6461.06,2.60E-15
6462.05,2.62E-15
6463.05,2.64E-15
6464.05,2.61E-15
6465.04,2.56E-15
6466.04,2.52E-15
6467.04,2.51E-15
6468.03,2.55E-15
6469.03,2.57E-15
6470.03,2.60E-15
6471.02,2.56E-15
6472.02,2.58E-15
6473.02,2.58E-15
6474.02,2.56E-15
6475.01,2.54E-15
6476.01,2.58E-15
6477.01,2.63E-15
6478,2.64E-15
6479,2.64E-15
6480,2.62E-15
6480.99,2.61E-15
6481.99,2.63E-15
6482.99,2.57E-15
6483.98,2.55E-15
6484.98,2.60E-15
6485.98,2.53E-15
6486.98,2.57E-15
6487.97,2.61E-15
6488.97,2.59E-15
6489.97,2.60E-15
6490.96,2.66E-15
6491.96,2.60E-15
6492.96,2.63E-15
6493.95,2.61E-15
6494.95,2.57E-15
6495.95,2.42E-15
6496.94,2.39E-15
6497.94,2.31E-15
6498.94,2.26E-15
6499.94,2.29E-15
6500.93,2.37E-15
6501.93,2.37E-15
6502.93,2.38E-15
6503.92,2.44E-15
6504.92,2.55E-15
6505.92,2.56E-15
6506.91,2.57E-15
6507.91,2.63E-15
6508.91,2.63E-15
6509.9,2.65E-15
6510.9,2.64E-15
6511.9,2.64E-15
6512.9,2.64E-15
6513.89,2.63E-15
6514.89,2.64E-15
6515.89,2.65E-15
6516.88,2.66E-15
6517.88,2.66E-15
6518.88,2.62E-15
6519.87,2.63E-15
6520.87,2.58E-15
6521.87,2.58E-15
6522.86,2.55E-15
6523.86,2.60E-15
