Wavelength,Intensity
3674.15,6.24E-14
3676.9,6.24E-14
3679.65,5.45E-14
3682.4,5.44E-14
3685.15,5.49E-14
3687.9,6.04E-14
3690.65,5.57E-14
3693.4,5.80E-14
3696.15,5.90E-14
3698.9,6.26E-14
3701.65,5.95E-14
3704.4,6.03E-14
3707.15,5.97E-14
3709.9,5.45E-14
3712.65,5.62E-14
3715.4,5.86E-14
3718.15,5.66E-14
3720.9,5.84E-14
3723.65,6.15E-14
3726.4,5.74E-14
3729.15,5.23E-14
3731.9,5.65E-14
3734.65,5.95E-14
3737.4,6.08E-14
3740.15,6.07E-14
3742.9,5.66E-14
3745.65,5.93E-14
3748.4,5.51E-14
3751.15,5.07E-14
3753.9,5.84E-14
3756.65,5.65E-14
3759.4,5.75E-14
3762.15,5.59E-14
3764.9,5.96E-14
3767.65,6.38E-14
3770.4,5.79E-14
3773.15,5.53E-14
3775.9,5.75E-14
3778.65,6.24E-14
3781.4,6.36E-14
3784.15,7.54E-14
3786.9,8.37E-14
3789.65,8.75E-14
3792.4,8.12E-14
3795.15,6.91E-14
3797.9,6.09E-14
3800.65,5.90E-14
3803.4,5.71E-14
3806.15,5.85E-14
3808.9,5.68E-14
3811.65,5.66E-14
3814.4,5.88E-14
3817.15,6.13E-14
3819.9,5.56E-14
3822.65,5.86E-14
3825.4,5.93E-14
3828.15,5.61E-14
3830.9,5.51E-14
3833.65,5.22E-14
3836.4,5.39E-14
3839.15,5.91E-14
3841.9,5.79E-14
3844.65,5.66E-14
3847.4,5.83E-14
3850.15,5.71E-14
3852.9,5.71E-14
3855.65,5.44E-14
3858.4,5.35E-14
3861.15,5.35E-14
3863.9,5.05E-14
3866.65,5.69E-14
3869.4,5.57E-14
3872.15,5.83E-14
3874.9,5.77E-14
3877.65,5.92E-14
3880.4,5.61E-14
3883.15,5.66E-14
3885.9,5.72E-14
3888.65,5.14E-14
3891.4,5.62E-14
3894.15,5.26E-14
3896.9,5.63E-14
3899.65,5.17E-14
3902.4,5.16E-14
3905.15,5.47E-14
3907.9,5.30E-14
3910.65,6.12E-14
3913.4,5.87E-14
3916.15,5.60E-14
3918.9,5.93E-14
3921.65,6.05E-14
3924.4,5.73E-14
3927.15,6.02E-14
3929.9,6.12E-14
3932.65,6.26E-14
3935.4,5.76E-14
3938.15,5.52E-14
3940.9,5.70E-14
3943.65,5.53E-14
3946.4,5.47E-14
3949.15,5.86E-14
3951.9,5.50E-14
3954.65,5.20E-14
3957.4,5.30E-14
3960.15,5.45E-14
3962.9,5.60E-14
3965.65,5.32E-14
3968.4,5.08E-14
3971.15,5.17E-14
3973.9,5.33E-14
3976.65,5.36E-14
3979.4,5.54E-14
3982.15,5.61E-14
3984.9,5.49E-14
3987.65,5.25E-14
3990.4,5.32E-14
3993.15,5.20E-14
3995.9,4.59E-14
3998.65,4.55E-14
4001.4,4.54E-14
4004.15,4.77E-14
4006.9,4.95E-14
4009.65,5.24E-14
4012.4,5.45E-14
4015.15,5.37E-14
4017.9,5.42E-14
4020.65,5.40E-14
4023.4,5.37E-14
4026.15,5.38E-14
4028.9,5.22E-14
4031.65,5.20E-14
4034.4,5.27E-14
4037.15,5.38E-14
4039.9,5.26E-14
4042.65,5.48E-14
4045.4,5.47E-14
4048.15,5.55E-14
4050.9,5.84E-14
4053.65,5.69E-14
4056.4,5.75E-14
4059.15,5.75E-14
4061.9,5.68E-14
4064.65,5.72E-14
4067.4,5.56E-14
4070.15,5.34E-14
4072.9,5.48E-14
4075.65,5.68E-14
4078.4,5.46E-14
4081.15,5.56E-14
4083.9,5.71E-14
4086.65,5.46E-14
4089.4,5.51E-14
4092.15,5.49E-14
4094.9,5.60E-14
4097.65,5.47E-14
4100.4,5.57E-14
4103.15,5.34E-14
4105.9,5.26E-14
4108.65,5.49E-14
4111.4,5.25E-14
4114.15,5.27E-14
4116.9,5.69E-14
4119.65,5.40E-14
4122.4,5.27E-14
4125.15,5.29E-14
4127.9,5.24E-14
