Name,m_s,r,v,m_t,M_t
S.Mag.,,0.032,170,1.5,-16
L.Mag.,,0.034,290,0.5,17.2
NGC6822,,0.214,-130,9,12.7
NGC598,,0.263,-70,7,15.1
NGC221,,0.275,-185,8.8,13.4
NGC224,,0.275,-220,5,17.2
NGC5457,17,0.45,200,9.9,13.3
NGC4736,17.3,0.5,290,8.4,15.1
NGC5194,17.3,0.5,270,7.4,16.1
NGC4449,17.8,0.63,200,9.5,14.5
NGC4214,18.3,0.8,300,11.3,13.2
NGC3031,18.5,0.9,-30,8.3,16.4
NGC3627,18.5,0.9,650,9.1,15.7
NGC4826,18.5,0.9,150,9,15.7
NGC5236,18.5,0.9,500,10.4,14.4
NGC1068,18.7,1,920,9.1,15.9
NGC5055,19,1.1,450,9.6,15.6
NGC7331,19,1.1,500,10.4,14.8
NGC4258,19.5,1.4,500,8.7,17
NGC4151,20,1.7,960,12,14.2
NGC4382,,2,500,10,16.5
NGC4472,,2,850,8.8,17.7
NGC4486,,2,800,9.7,16.8
NGC4649,,2,1090,9.5,17
